,reactions,new_reaction,solved_by,confidence,modifiers,issue
10,CC#CC(O)=O.O=CC1=CC=CS1.CC(C)(C)[N+]#[C-].COc1ccc(CN)cc1>>COc1ccc(CN(C(C(=O)NC(C)(C)C)C2=CC=CS2)C(=O)C#CC)cc1.O,CC#CC(O)=O.O=CC1=CC=CS1.CC(C)(C)[N+]#[C-].COc1ccc(CN)cc1>>COc1ccc(CN(C(C(=O)NC(C)(C)C)C2=CC=CS2)C(=O)C#CC)cc1.O,,,[],
11,OC(C(F)(Sc1ccccc1)F)=O.O=Cc2ccccc2.[C-]#[N+]c3ccccc3.Nc4ccccc4>>FC(Sc5ccccc5)(C(N(c6ccccc6)C(c7ccccc7)C(Nc8ccccc8)=O)=O)F.O,OC(C(F)(Sc1ccccc1)F)=O.O=Cc2ccccc2.[C-]#[N+]c3ccccc3.Nc4ccccc4>>FC(Sc5ccccc5)(C(N(c6ccccc6)C(c7ccccc7)C(Nc8ccccc8)=O)=O)F.O,,,[],
12,[C-]#[N+]C1CCCC1.OC(=O)CC#N.O=CC(=O)C1=CC=CS1>>O=C(CC#N)OC(C(=O)NC1CCCC1)C(=O)C1=CC=CS1,[C-]#[N+]C1CCCC1.OC(=O)CC#N.O=CC(=O)C1=CC=CS1>>O=C(CC#N)OC(C(=O)NC1CCCC1)C(=O)C1=CC=CS1,,,[],
13,O=Cc1ccccc1.CC(=C)C[Si](C)(C)C.Cl>>CC(=C)CC(O)c1ccccc1.C[Si](C)(C)Cl,O=Cc1ccccc1.CC(=C)C[Si](C)(C)C.Cl>>CC(=C)CC(O)c1ccccc1.C[Si](C)(C)Cl,,,[],
14,O=Cc1ccccc1.C[Si](C)(C)CC=C>>OC(CC=C)c1ccccc1,O=Cc1ccccc1.C[Si](C)(C)CC=C>>OC(CC=C)c1ccccc1.C[Si](C)(C)O,mcs-based-method,,"['form M-OH', 'default single bond']",
15,N#CCCCOC1=C(Sc2ccccc12)C#N>>Nc1nc2OCCc2c-2c1Sc1ccccc-21,N#CCCCOC1=C(Sc2ccccc12)C#N>>Nc1nc2OCCc2c-2c1Sc1ccccc-21,,,[],
16,c1ccccc1.CCCCBr>>CCC(C)c1ccccc1.Br,c1ccccc1.CCCCBr>>CCC(C)c1ccccc1.Br,,,[],
17,C[C@H](CCC=O)C#C.[C-]#[O+]>>C[C@@H]1CCC2OC(=O)C=C12,C[C@H](CCC=O)C#C.[C-]#[O+]>>C[C@@H]1CCC2OC(=O)C=C12,,,[],
18,CC#CCCC1=CC=C(O1)[C@@H](O)CNC(C)=O>>[H][C@]1(CCC#CC)O[C@@]([H])(CNC(C)=O)C(=O)C=C1,CC#CCCC1=CC=C(O1)[C@@H](O)CNC(C)=O>>[H][C@]1(CCC#CC)O[C@@]([H])(CNC(C)=O)C(=O)C=C1,,,[],
19,CC1(C)C2CCC1(O)C(=C)C2.O>>CC1(C)C2CCC(CO)(C2)C1=O,CC1(C)C2CCC1(O)C(=C)C2.O.[O]>>CC1(C)C2CCC(CO)(C2)C1=O.O,rule-based-method,,[],
20,[H][C@@]12CC[C@@H](OC1=O)C13CCCC21CC3(C)C>>[H][C@]12CCC3C(C)(C)CC11CCC[C@@]31OC2=O,[H][C@@]12CC[C@@H](OC1=O)C13CCCC21CC3(C)C>>[H][C@]12CCC3C(C)(C)CC11CCC[C@@]31OC2=O,,,[],
21,CC(CCC1=C(C)CCCC1(C)C)=CCO.OC=O>>C[C@]12CC[C@]3(C1)[C@](C)(CCCC3(C)C)C2OC=O.O,CC(CCC1=C(C)CCCC1(C)C)=CCO.OC=O>>C[C@]12CC[C@]3(C1)[C@](C)(CCCC3(C)C)C2OC=O.O,,,[],
22,CC(=C)[C@@H](O)[C@@H](O)C(C)=C.CC(C)=O>>CC(=C)[C@@H]1OC(C)(C)C[C@]1(C)C=O,CC(=C)[C@@H](O)[C@@H](O)C(C)=C.CC(C)=O>>CC(=C)[C@@H]1OC(C)(C)C[C@]1(C)C=O.O,rule-based-method,,[],
23,C\C=C(\C)C1(C)OC(C)O[C@H]1C>>C[C@H]1O[C@@H](C)[C@](C)([C@H]1C)C(C)=O,C\C=C(\C)C1(C)OC(C)O[C@H]1C>>C[C@H]1O[C@@H](C)[C@](C)([C@H]1C)C(C)=O,,,[],
24,CC(C)=CCC\C(C)=C\COC(=N)C(Cl)(Cl)Cl>>CC(C)=CCCC(C)(NC(=O)C(Cl)(Cl)Cl)C=C,CC(C)=CCC\C(C)=C\COC(=N)C(Cl)(Cl)Cl>>CC(C)=CCCC(C)(NC(=O)C(Cl)(Cl)Cl)C=C,,,[],
25,C[C@H](CCC=C(C)C)[C@@]12C[C@@H]1C(=O)CC2>>[H][C@@]12CC[C@@H](C)[C@]11C[C@@H](C(=O)CC1)C2(C)C,C[C@H](CCC=C(C)C)[C@@]12C[C@@H]1C(=O)CC2>>[H][C@@]12CC[C@@H](C)[C@]11C[C@@H](C(=O)CC1)C2(C)C,,,[],
26,[H][C@]12CC(Cl)[C@](C)(C=C)C([N+]#[C-])=C1C1(Cl)C3=C(C=CC=C3)N=C1C2(C)C>>[H][C@]12C[C@@H](Cl)[C@@](C)(C=C)C([N+]#[C-])=C1[C@]1(C(=O)Nc3ccccc13)C2(C)C,[H][C@]12CC(Cl)[C@](C)(C=C)C([N+]#[C-])=C1C1(Cl)C3=C(C=CC=C3)N=C1C2(C)C>>[H][C@]12C[C@@H](Cl)[C@@](C)(C=C)C([N+]#[C-])=C1[C@]1(C(=O)Nc3ccccc13)C2(C)C.Cl,mcs-based-method,,[],
27,[H][C@]12CC(Cl)[C@](C)(C=C)C([N+]#[C-])=C1C1=C(NC3=C1C=CC=C3)C2(C)C>>[H][C@]12C[C@@H](Cl)[C@@](C)(C=C)C([N+]#[C-])=C1[C@]1(C(=O)Nc3ccccc13)C2(C)C,[H][C@]12CC(Cl)[C@](C)(C=C)C([N+]#[C-])=C1C1=C(NC3=C1C=CC=C3)C2(C)C.[O]>>[H][C@]12C[C@@H](Cl)[C@@](C)(C=C)C([N+]#[C-])=C1[C@]1(C(=O)Nc3ccccc13)C2(C)C,rule-based-method,,[],
28,CC[C@@H]1CCCN(C1C=C)C(=O)CC>>CC[C@@H]1CCCNC(=O)[C@H](C)C\C=C\1,CC[C@@H]1CCCN(C1C=C)C(=O)CC>>CC[C@@H]1CCCNC(=O)[C@H](C)C\C=C\1,,,[],
29,CC(=O)C(=O)[C@@]1(C)CCC2C(CCC3=CC(=O)CC[C@]23C)C1CC=O>>C[C@]12CCC(=O)C=C1CCC1C2CC[C@@]2(C)C1C[C@@H]1C[C@@]2(O)C(=O)O1,CC(=O)C(=O)[C@@]1(C)CCC2C(CCC3=CC(=O)CC[C@]23C)C1CC=O>>C[C@]12CCC(=O)C=C1CCC1C2CC[C@@]2(C)C1C[C@@H]1C[C@@]2(O)C(=O)O1,,,[],
30,CCOC1=C(N=C(O1)c1ccccc1)C1=NCCO1>>CCOC(=O)C1=C2OCCN2C(=N1)c1ccccc1,CCOC1=C(N=C(O1)c1ccccc1)C1=NCCO1>>CCOC(=O)C1=C2OCCN2C(=N1)c1ccccc1,,,[],
31,[H][C@]12CCN(C(=O)OCC)[C@]1([H])[C@H](CCO[Si](C)(C)C(C)(C)C)[C@H](O)C=C2>>[H][C@]12CCN(C(=O)OCC)[C@]1([H])[C@H](CCO[Si](C)(C)C(C)(C)C)C=C[C@@H]2C(N)=O,[H][C@]12CCN(C(=O)OCC)[C@]1([H])[C@H](CCO[Si](C)(C)C(C)(C)C)[C@H](O)C=C2>>[H][C@]12CCN(C(=O)OCC)[C@]1([H])[C@H](CCO[Si](C)(C)C(C)(C)C)C=C[C@@H]2C(N)=O,,,[],
32,CO[C@@H]1C[C@@H]2OC(=O)CC2C(=C)O1.O>>OC1C[C@@H]2OC(=O)CC2C(=O)C1,CO[C@@H]1C[C@@H]2OC(=O)CC2C(=C)O1.O.[O]>>OC1C[C@@H]2OC(=O)CC2C(=O)C1.C=O.O,rule-based-method,,[],
33,CC1(C)C[C@@H](O)[C@]2(O)CC3=COC=C3C=C2C1>>CC1(C)CC2C(C1)=CC1=COC=C1CC2=O,CC1(C)C[C@@H](O)[C@]2(O)CC3=COC=C3C=C2C1>>CC1(C)CC2C(C1)=CC1=COC=C1CC2=O.O,rule-based-method,,[],
34,Cc1ccc(cc1)S(=O)(=O)O[C@@H]1CC(C)(C)CC2=CC3=COC=C3C[C@@]12O>>CC1(C)CC2C(C1)=CC1=COC=C1CC2=O.Cc1ccc(cc1)S(O)(=O)=O,Cc1ccc(cc1)S(=O)(=O)O[C@@H]1CC(C)(C)CC2=CC3=COC=C3C[C@@]12O>>CC1(C)CC2C(C1)=CC1=COC=C1CC2=O.Cc1ccc(cc1)S(O)(=O)=O,,,[],
35,[H][C@]12CC=C[C@@]1([H])CC(=C2)[C@@]1(CCC[C@H]1CC(OC)OC)O[Si](CC)(CC)CC>>[H][C@]12CC(OC)[C@]3([H])[C@@]4([H])CC=C[C@@]4([H])C[C@]13C(=O)CCC2.CC[SiH](CC)CC,[H][C@]12CC=C[C@@]1([H])CC(=C2)[C@@]1(CCC[C@H]1CC(OC)OC)O[Si](CC)(CC)CC>>[H][C@]12CC(OC)[C@]3([H])[C@@]4([H])CC=C[C@@]4([H])C[C@]13C(=O)CCC2.CC[SiH](CC)CC.C=O,rule-based-method,,[],
36,CC(C)=C1CCOCO1>>CC1(C)COCCC1=O,CC(C)=C1CCOCO1>>CC1(C)COCCC1=O,,,[],
37,O=C1CCCCC1.CC(=O)\C=C\c1ccccc1>>O=C1CC(C2CCCCC2=C1)c1ccccc1,O=C1CCCCC1.CC(=O)\C=C\c1ccccc1>>O=C1CC(C2CCCCC2=C1)c1ccccc1.O,rule-based-method,,[],
38,C[N+]1([O-])CCCC1C1=CC=CN=C1.CC(=O)OC(C)=O>>CC(=O)N1CCCC1C1=CC=CN=C1.C=O.CC(O)=O,C[N+]1([O-])CCCC1C1=CC=CN=C1.CC(=O)OC(C)=O>>CC(=O)N1CCCC1C1=CC=CN=C1.C=O.CC(O)=O,,,[],
39,CC(C)(C)[Si](C)(C)O[C@@H]1CC[C@@]2([C@H]3[C@@H]2[C@]1(C)COC3=O)C1=CC=CCC1>>CC(C)(C)[Si](C)(C)O[C@@H]1CCC2=C3CCC=C[C@@H]3[C@H]3[C@@H]2[C@]1(C)COC3=O,CC(C)(C)[Si](C)(C)O[C@@H]1CC[C@@]2([C@H]3[C@@H]2[C@]1(C)COC3=O)C1=CC=CCC1>>CC(C)(C)[Si](C)(C)O[C@@H]1CCC2=C3CCC=C[C@@H]3[C@H]3[C@@H]2[C@]1(C)COC3=O,,,[],
40,[H][C@]12CC[C@@]3(C)[C@@H](CC[C@@]3(O)C1COC(C2)OC)OS(=O)(=O)C1=CC=C(C)C=C1>>[H][C@@]12CC(OC)OCC1C(=O)CC\C=C(C)\CC2.CC1=CC=C(C=C1)S(O)(=O)=O,[H][C@]12CC[C@@]3(C)[C@@H](CC[C@@]3(O)C1COC(C2)OC)OS(=O)(=O)C1=CC=C(C)C=C1>>[H][C@@]12CC(OC)OCC1C(=O)CC\C=C(C)\CC2.CC1=CC=C(C=C1)S(O)(=O)=O,,,[],
41,O=CCCC=O>>OC1CC2C=C(CC2O1)C=O,O=CCCC=O>>OC1CC2C=C(CC2O1)C=O,,,[],
42,O=CCCC=O.O=CCCC=O>>OC1CC2C=C(CC2O1)C=O,O=CCCC=O.O=CCCC=O>>OC1CC2C=C(CC2O1)C=O.O,rule-based-method,,[],
43,C=COCC.CC(=O)C1(CC1)C#Cc1ccccc1.O>>C[C@@]12CC[C@]1(O)C(=CC2)C(=O)c1ccccc1,C=COCC.CC(=O)C1(CC1)C#Cc1ccccc1.O>>C[C@@]12CC[C@]1(O)C(=CC2)C(=O)c1ccccc1.CCO,mcs-based-method,,[],
44,CCOC=C.CC#CC1(CC1)C(C)=O.O>>CC(=O)C1=CC[C@]2(C)CC[C@]12O,CCOC=C.CC#CC1(CC1)C(C)=O.O>>CC(=O)C1=CC[C@]2(C)CC[C@]12O.C=CO,mcs-based-method,,['default single bond'],
45,CC1C2CC[C@@]3(C)C=CC(=O)C(C)=C3C2OC1=O>>CC1C2CC[C@]3(C)[C@@]4(C)C(=O)C=CC34C2OC1=O,CC1C2CC[C@@]3(C)C=CC(=O)C(C)=C3C2OC1=O>>CC1C2CC[C@]3(C)[C@@]4(C)C(=O)C=CC34C2OC1=O,,,[],
46,CC(C)=CC(C)(C)C=C(C1=CC=CC=C1)C1=CC=CC=C1>>CC(C)=CC1C(C)(C)C1(C1=CC=CC=C1)C1=CC=CC=C1,CC(C)=CC(C)(C)C=C(C1=CC=CC=C1)C1=CC=CC=C1>>CC(C)=CC1C(C)(C)C1(C1=CC=CC=C1)C1=CC=CC=C1,,,[],
47,[H][C@@]12C[C@@]3(C(=O)OC)C(=O)CC[C@@]13CC([C@H]2OC(=S)N1C=CN=C1)C(C)(C)O>>COC(=O)C1CC(=O)CC[C@]11CC(C=C1)C(C)(C)O,[H][C@@]12C[C@@]3(C(=O)OC)C(=O)CC[C@@]13CC([C@H]2OC(=S)N1C=CN=C1)C(C)(C)O>>COC(=O)C1CC(=O)CC[C@]11CC(C=C1)C(C)(C)O.OC(=S)n1ccnc1,mcs-based-method,,[],
48,C1N=C1c1ccccc1.O=C1C(=C(C(=C1c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1>>c1ccc(cc1)C1C=NC(c2ccccc2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccccc1,C1N=C1c1ccccc1.O=C1C(=C(C(=C1c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1>>c1ccc(cc1)C1C=NC(c2ccccc2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccccc1,,,[],
49,CO\N=C/CNC(=O)C1Cc2ccccc12>>CON1Cc2ccccc2C2C1CNC2=O,CO\N=C/CNC(=O)C1Cc2ccccc12>>CON1Cc2ccccc2C2C1CNC2=O,,,[],
50,C[Si](C)(C)C#C[Si](C)(C)C.CON=Cc1ccccc1COC(CC#C)C#C>>[H][C@]12OCc3ccccc3[C@]1([H])N(Cc1cc(c(cc21)[Si](C)(C)C)[Si](C)(C)C)OC,C[Si](C)(C)C#C[Si](C)(C)C.CON=Cc1ccccc1COC(CC#C)C#C>>[H][C@]12OCc3ccccc3[C@]1([H])N(Cc1cc(c(cc21)[Si](C)(C)C)[Si](C)(C)C)OC,,,[],
51,C[Si](C)(C)Cc1ccccc1C(Cl)=O.O=Cc1ccccc1>>O=C1OC(Cc2ccccc12)c1ccccc1.C[Si](C)(C)Cl,C[Si](C)(C)Cc1ccccc1C(Cl)=O.O=Cc1ccccc1>>O=C1OC(Cc2ccccc12)c1ccccc1.C[Si](C)(C)Cl,,,[],
52,O=C1C(=C(C(=C1c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1.N#Cc1ccccc1>>c1ccc(cc1)-c1nc(-c2ccccc2)c(-c2ccccc2)c(-c2ccccc2)c1-c1ccccc1.[C-]#[O+],O=C1C(=C(C(=C1c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1.N#Cc1ccccc1>>c1ccc(cc1)-c1nc(-c2ccccc2)c(-c2ccccc2)c(-c2ccccc2)c1-c1ccccc1.[C-]#[O+],,,[],
53,O=C1C(=C(C(=C1c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1.N#Cc1ccccc1>>c1ccc(cc1)-c1nc(-c2ccccc2)c(-c2ccccc2)c(-c2ccccc2)c1-c1ccccc1,O=C1C(=C(C(=C1c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1.N#Cc1ccccc1>>c1ccc(cc1)-c1nc(-c2ccccc2)c(-c2ccccc2)c(-c2ccccc2)c1-c1ccccc1.N#CO,mcs-based-method,,['default single bond'],
54,C#CCOc1ccccc1C1=NC=CC=N1>>C1Oc2ccccc2-c2ncccc12.C#N,C#CCOc1ccccc1C1=NC=CC=N1>>C1Oc2ccccc2-c2ncccc12.C#N,,,[],
55,OC1=CC(=O)NC=C1c1ccccc1.C\C=C\C=C\CCC[C@@H](C)C=O>>[H][C@@]12CCC[C@@H](C)[C@]1([H])C1=C(O[C@H]2\C=C\C)C(=CNC1=O)c1ccccc1,OC1=CC(=O)NC=C1c1ccccc1.C\C=C\C=C\CCC[C@@H](C)C=O>>[H][C@@]12CCC[C@@H](C)[C@]1([H])C1=C(O[C@H]2\C=C\C)C(=CNC1=O)c1ccccc1.O,rule-based-method,,[],
56,CC(C)OC(=O)\C=C\C(=O)O\C=C\[N+]([O-])=O.C=CO[C@@H]1CCCC1(c1ccccc1)c1ccccc1>>[H][C@]12C[C@@]([H])(O[C@@H]3CCCC3(c3ccccc3)c3ccccc3)ON3O[C@@H](C(=O)OC(C)C)[C@]([H])(C(=O)O1)[C@]23[H],CC(C)OC(=O)\C=C\C(=O)O\C=C\[N+]([O-])=O.C=CO[C@@H]1CCCC1(c1ccccc1)c1ccccc1>>[H][C@]12C[C@@]([H])(O[C@@H]3CCCC3(c3ccccc3)c3ccccc3)ON3O[C@@H](C(=O)OC(C)C)[C@]([H])(C(=O)O1)[C@]23[H],,,[],
57,C[Si](C)(C)C1=CC=CC=C1OS(=O)(C(F)(F)F)=O.O=C(CC(OC)=O)C.[F-]>>O=C(C)C2=CC=CC=C2CC(OC)=O.C[Si](C)(F)C.[O-]S(=O)(C(F)(F)F)=O,C[Si](C)(C)C1=CC=CC=C1OS(=O)(C(F)(F)F)=O.O=C(CC(OC)=O)C.[F-]>>O=C(C)C2=CC=CC=C2CC(OC)=O.C[Si](C)(F)C.[O-]S(=O)(C(F)(F)F)=O,,,[],
58,CC(CCC1(C(CCCC1=O)=O)CCCOCC2=CC=CC=C2)=O>>O=C3CC[C@@]4(C(CCCC4=C3)=O)CCCOCC5=CC=CC=C5.O,CC(CCC1(C(CCCC1=O)=O)CCCOCC2=CC=CC=C2)=O>>O=C3CC[C@@]4(C(CCCC4=C3)=O)CCCOCC5=CC=CC=C5.O,,,[],
59,O=C(OC)C1OC1(C)CC(OC)OC>>O=C(OC)C2=C(C)C=CO2.OC.OC,O=C(OC)C1OC1(C)CC(OC)OC>>O=C(OC)C2=C(C)C=CO2.OC.OC,,,[],
60,OCC1=CC=CO1.O=C(C2=CC=CC(Cl)=C2)OO>>O=C3COC(C=C3)O.OC(C4=CC=CC(Cl)=C4)=O,OCC1=CC=CO1.O=C(C2=CC=CC(Cl)=C2)OO>>O=C3COC(C=C3)O.OC(C4=CC=CC(Cl)=C4)=O,,,[],
61,OC(C1=CC=CC=C1)(C2=CC=CC=C2)C(C3=CC=CC=C3)(O)C4=CC=CC=C4>>C5(C(C=CC=C6)=C6C(C7=CC=CC=C7)=C8C9=CC=CC=C9)=C8C=CC=C5.O.O,OC(C1=CC=CC=C1)(C2=CC=CC=C2)C(C3=CC=CC=C3)(O)C4=CC=CC=C4>>C5(C(C=CC=C6)=C6C(C7=CC=CC=C7)=C8C9=CC=CC=C9)=C8C=CC=C5.O.O,,,[],
62,C=C/C=C/OC(C)=O.C1=CC=CCC=C1>>C23C=CC=CC(CC=CC3OC(C)=O)C2,C=C/C=C/OC(C)=O.C1=CC=CCC=C1>>C23C=CC=CC(CC=CC3OC(C)=O)C2,,,[],
63,C=C(C)CCN(C(OC(C)(C)C)=O)C1=CC=CO1>>O=C2CC3(C)C(N(C(OC(C)(C)C)=O)CC3)=CC2,C=C(C)CCN(C(OC(C)(C)C)=O)C1=CC=CO1>>O=C2CC3(C)C(N(C(OC(C)(C)C)=O)CC3)=CC2,,,[],
64,N[C@@H](CO)C1=CC=CC=C1.O=CCCCC=O.[H]C#N>>N#C[C@H]2N3C(COC3CCC2)C4=CC=CC=C4.O.O,N[C@@H](CO)C1=CC=CC=C1.O=CCCCC=O.[H]C#N>>N#C[C@H]2N3C(COC3CCC2)C4=CC=CC=C4.O.O,,,[],
65,C[Si](C)(C)O/C=C1CCCCCCCCCCC\1(CC(C)=C)O>>CC2=CC=C3CCCCCCCCCCC3=C2.O[Si](C)(C)C.O,C[Si](C)(C)O/C=C1CCCCCCCCCCC\1(CC(C)=C)O>>CC2=CC=C3CCCCCCCCCCC3=C2.O[Si](C)(C)C.O,,,[],
66,O=C1C(C)=CC[C@@H](C(C)=C)C1.C=C=C([Si](C)(C)C)C>>C[C@@]23[C@@](CC([Si](C)(C)C)=C3C)([H])C[C@@H](C(C)=C)CC2=O,O=C1C(C)=CC[C@@H](C(C)=C)C1.C=C=C([Si](C)(C)C)C>>C[C@@]23[C@@](CC([Si](C)(C)C)=C3C)([H])C[C@@H](C(C)=C)CC2=O,,,[],
67,OC(C1=CC=CC=C1)(C#CC2=CC=CC=C2)C3=CC=CC=C3.OC(C1=CC=CC=C1)(C#CC2=CC=CC=C2)C3=CC=CC=C3>>C1(C2=CC=CC=C2)=C3C(C4=CC=CC=C4)=C5C=CC=CC5=C(C3=C(C6=CC=CC=C16)C7=CC=CC=C7)C8=CC=CC=C8.[H]O[H].[H]O[H],OC(C1=CC=CC=C1)(C#CC2=CC=CC=C2)C3=CC=CC=C3.OC(C1=CC=CC=C1)(C#CC2=CC=CC=C2)C3=CC=CC=C3>>C1(C2=CC=CC=C2)=C3C(C4=CC=CC=C4)=C5C=CC=CC5=C(C3=C(C6=CC=CC=C16)C7=CC=CC=C7)C8=CC=CC=C8.[H]O[H].[H]O[H],,,[],
68,O=C(OC)[C@@H](N(CC#C)CC=C)CC1=CC=CC=C1>>O=C(OC)[C@@H](N1CC(C=C)=CC1)CC2=CC=CC=C2,O=C(OC)[C@@H](N(CC#C)CC=C)CC1=CC=CC=C1>>O=C(OC)[C@@H](N1CC(C=C)=CC1)CC2=CC=CC=C2,,,[],
69,C1CCCO1.CCCC[Li]>>C=CO[Li].C=C.CCCC,C1CCCO1.CCCC[Li]>>C=CO[Li].C=C.CCCC,,,[],
70,CC1=C2[C@@](CCC2)([H])[C@]3([H])[C@@](/C(C(O3)=O)=C/C)([H])[C@@H](O)C1>>O[C@H]1CC(C)=C2[C@@]([C@]1([H])/C3=C/C)([H])[C@@](CCC2)([H])OC3=O,CC1=C2[C@@](CCC2)([H])[C@]3([H])[C@@](/C(C(O3)=O)=C/C)([H])[C@@H](O)C1>>O[C@H]1CC(C)=C2[C@@]([C@]1([H])/C3=C/C)([H])[C@@](CCC2)([H])OC3=O,,,[],
71,C=C1C=CC(C)=C/C1=C\O[Li].C12=CC=CC=C1CCN=C2.[H]Cl>>CC1=CC=C(CC(C(C=CC=C2)=C2CC3)N3C4O)C4=C1.[Li]Cl,C=C1C=CC(C)=C/C1=C\O[Li].C12=CC=CC=C1CCN=C2.[H]Cl>>CC1=CC=C(CC(C(C=CC=C2)=C2CC3)N3C4O)C4=C1.[Li]Cl,,,[],
72,CC(OC)(C)/C=C/C1=C[C@@H](O)[C@H](O2)[C@H]2C1=O.CC(OC)(C)/C=C/C1=C[C@@H](O)[C@H](O2)[C@H]2C1=O>>OC([C@H]1[C@@H]2O1)[C@@]3([H])[C@](C4=C[C@H](C(C)(OC)C)[C@@]3(/C=C/C(C)(OC)C)C2=O)([H])[C@@H](O)[C@H]5[C@H](O5)C4=O,CC(OC)(C)/C=C/C1=C[C@@H](O)[C@H](O2)[C@H]2C1=O.CC(OC)(C)/C=C/C1=C[C@@H](O)[C@H](O2)[C@H]2C1=O>>OC([C@H]1[C@@H]2O1)[C@@]3([H])[C@](C4=C[C@H](C(C)(OC)C)[C@@]3(/C=C/C(C)(OC)C)C2=O)([H])[C@@H](O)[C@H]5[C@H](O5)C4=O,,,[],
73,CC(C)([Si](C)(OC[C@H]1OC(C)(O[C@H]1[C@H](C=C)O)C)C)C.COC(OC)(OC)C>>COC(CC/C=C/[C@@H]1OC(C)(O[C@@H]1CO[Si](C)(C(C)(C)C)C)C)=O.CO,CC(C)([Si](C)(OC[C@H]1OC(C)(O[C@H]1[C@H](C=C)O)C)C)C.COC(OC)(OC)C.[O]>>COC(CC/C=C/[C@@H]1OC(C)(O[C@@H]1CO[Si](C)(C(C)(C)C)C)C)=O.CO.C=O.O,rule-based-method,,[],
74,CONC([C@H]1OC(C)(O[C@H]1/C=C/CCC(OC)=O)C)=O>>[H][C@]1([C@@]2([C@@H]3OC(C)(O[C@@H]3C(N2OC)=O)C)[H])CCC(O1)=O,CONC([C@H]1OC(C)(O[C@H]1/C=C/CCC(OC)=O)C)=O>>[H][C@]1([C@@]2([C@@H]3OC(C)(O[C@@H]3C(N2OC)=O)C)[H])CCC(O1)=O.CO,mcs-based-method,,"['C-O Ester break', 'default single bond']",
